Name;ISIN;Symbol;Market;Trading Currency;Open;High;Low;Last;Last Date/Time;Time Zone;Volume;Turnover
CARMAT;FR0010907956;ALCAR;Euronext Growth Paris;EUR;19.5;19.5;19.1;19.1;16/12/2019;CET;7939;153961.16
CARMILA;FR0010828137;CARM;Euronext Paris;EUR;17.86;18.12;17.82;18.1;16/12/2019;CET;48487;872052.56
CARPINIENNE PART.;FR0000064156;CARP;Euronext Paris;EUR;33.4;33.4;33.4;33.4;11/12/2019;CET;90;3006
CARREFOUR;FR0000120172;CA;Euronext Paris;EUR;14.985;15.21;14.96;15.11;16/12/2019;CET;2943331;44451808.955
CASINO GUICHARD;FR0000125585;CO;Euronext Paris;EUR;42.87;44.13;42.05;43.83;16/12/2019;CET;432234;18822411.06
CAST;FR0000072894;CAS;Euronext Paris;EUR;3.05;3.1;3.05;3.1;16/12/2019;CET;2240;6942
CATANA GROUP;FR0010193052;CATG;Euronext Paris;EUR;3.89;4;3.86;4;16/12/2019;CET;583174;2310229.135
CATERING INTL SCES;FR0000064446;CTRG;Euronext Paris;EUR;11.5;11.8;11.4;11.4;16/12/2019;CET;3802;44020.25
CATERPILLAR INC;US1491231015;CATR;Euronext Paris;EUR;132;133;130;132;16/12/2019;CET;140;18546
CBO TERRITORIA;FR0010193979;CBOT;Euronext Paris;EUR;3.83;3.84;3.8;3.8;16/12/2019;CET;24404;93184.95
CBRE H2O;NL0012237614;-;Euronext Expert Market;EUR;-;-;-;-;-;CET;-;-
CECURITY.COM;FR0010717579;MLCEC;Euronext Access Paris;EUR;0.54;0.54;0.54;0.54;06/11/2019;CET;950;513
CEGEDIM;FR0000053506;CGM;Euronext Paris;EUR;28.45;28.5;28.25;28.45;16/12/2019;CET;2490;70846.65
CEGEREAL;FR0010309096;CGR;Euronext Paris;EUR;44.2;44.2;44.2;44.2;16/12/2019;CET;34;1502.8
CELLECTIS;FR0010425595;ALCLS;Euronext Growth Paris;EUR;14.45;14.45;14.14;14.32;16/12/2019;CET;24520;351154.3
CELLNOVO;FR0012633360;CLNV;Euronext Paris;EUR;0.138;0.1644;0.1232;0.128;08/05/2019;CET;4559697;642409.13
CELYAD;BE0974260896;CYAD;Euronext Brussels, Paris;EUR;9.6;9.6;9.28;9.43;16/12/2019;CET;88734;837088.37
CENERGY;BE0974303357;CENER;Euronext Brussels;EUR;1.238;1.238;1.238;1.238;05/12/2019;CET;1500;1857
CERINNOV GROUP;FR0013178712;ALPCV;Euronext Growth Paris;EUR;1.88;1.96;1.88;1.96;16/12/2019;CET;1085;2096.66
CESAR;FR0013297165;ALCES;Euronext Growth Paris;EUR;0.125;0.125;0.125;0.125;16/12/2019;CET;260;32.5
CFE;BE0003883031;CFEB;Euronext Brussels;EUR;92;96.6;91.8;96.1;16/12/2019;CET;35239;3324368.8
CFI;FR0000037475;CFI;Euronext Paris;EUR;0.5;0.5;0.5;0.5;06/12/2019;CET;3699;1849.5
CFM INDOSUEZWEALTH;MC0010000826;MLCFM;Euronext Access Paris;EUR;830;830;830;830;11/12/2019;CET;65;53950
CGG;FR0013181864;CGG;Euronext Paris;EUR;2.699;2.725;2.662;2.717;16/12/2019;CET;6014398;16175014.283
CGG BSA 1;FR0013309614;CGGBS;Euronext Paris;EUR;0.379;0.379;0.327;0.372;16/12/2019;CET;43626;16285.238
CGG BSA 2;FR0013309622;CGGBT;Euronext Paris;EUR;0.127;0.135;0.127;0.1345;16/12/2019;CET;45172;5849.177
CH.FER DEPARTEMENT;FR0000037871;MLCFD;Euronext Access Paris;EUR;715;715;715;715;02/12/2019;CET;11;7865
CH.FER VAR GARD N.;FR0000051567;MLCVG;Euronext Access Paris;EUR;3900;3980;3900;3980;13/11/2019;CET;13;51100
CHARB BONNIER;BE0010381029;-;Euronext Expert Market;EUR;71.74;71.74;71.74;71.74;08/09/2015;CET;1;71.74
CHARB. HASARD;BE0003256550;-;Euronext Expert Market;EUR;13;13;13;13;22/01/2019;CET;86;1118
CHARGEURS;FR0000130692;CRI;Euronext Paris;EUR;16.98;17.08;16.84;16.98;16/12/2019;CET;23464;398212.6
CHAUSSERIA;FR0000060907;CHSR;Euronext Paris;EUR;4.1;4.1;4.1;4.1;18/11/2019;CET;148;606.8
CHEOPS TECHNOLOGY;FR0010447086;MLCHE;Euronext Access Paris;EUR;38.2;38.2;38.2;38.2;04/12/2019;CET;10;382
CHEVRON;US1667641005;CHTEX;Traded not listed Brussels;USD;118.04;118.04;118.04;118.04;28/08/2019;CET;24;2556.13
CHRISTIAN DIOR;FR0000130403;CDI;Euronext Paris;EUR;453.6;461.4;451.6;457.6;16/12/2019;CET;12539;5737262.4
CIBIX;BE0003706208;-;Euronext Expert Market;EUR;-;-;-;-;-;CET;-;-
CIBOX INTER A CTIV;FR0000054322;CIB;Euronext Paris;EUR;0.1384;0.1418;0.1376;0.138;16/12/2019;CET;129132;17941.7744
CIE BOIS SAUVAGE;BE0003592038;COMB;Euronext Brussels;EUR;370;372;369;372;16/12/2019;CET;740;274382
CIE DU MONT BLANC;FR0000060428;MLCMB;Euronext Access Paris;EUR;134;134;134;134;16/12/2019;CET;34;4556
Cie HET ZOUTE;BE0027840017;-;Euronext Expert Market;EUR;4500;4500;4500;4500;10/12/2019;CET;6;27000
CIOA;FR0012384907;MLCIO;Euronext Access Paris;EUR;1.21;1.21;1.21;1.21;16/12/2019;CET;20;24.2
CISCO SYSTEM INC;US17275R1023;CIS;Traded not listed Brussels;USD;45.365;45.4;45.365;45.4;29/11/2019;CET;12;495.77
CKV;BE0021556221;-;Euronext Expert Market;EUR;51.47;51.47;51.47;51.47;13/10/2015;CET;253;13021.91
CLARANOVA;FR0013426004;CLA;Euronext Paris;EUR;7.422;7.498;7.22;7.342;16/12/2019;CET;371088;2711580.347
CLASQUIN;FR0004152882;ALCLA;Euronext Growth Paris;EUR;34.8;35.4;34.8;34.8;16/12/2019;CET;322;11231.4
CNIM GROUP;FR0000053399;COM;Euronext Paris;EUR;23.1;25.8;21.4;21.4;16/12/2019;CET;23510;543579.7
CNOVA;NL0010949392;CNV;Euronext Paris;EUR;2.5;2.6;2.4;2.6;16/12/2019;CET;1747;4370.18
CNP ASSURANCES;FR0000120222;CNP;Euronext Paris;EUR;18.05;18.13;17.8;17.85;16/12/2019;CET;557656;9970950.53
CO.BR.HA;BE0003519270;COBH;Euronext Growth Brussels;EUR;3900;3900;3900;3900;12/12/2019;CET;5;19500
COCA-COLA EUROPEAN;GB00BDCPN049;CCEP;Euronext Amsterdam;EUR;45.2;45.2;44.7;45.15;16/12/2019;CET;29854;1343854.95
COFACE;FR0010667147;COFA;Euronext Paris;EUR;10.65;10.71;10.57;10.65;16/12/2019;CET;102370;1090502.77
COFIDUR;FR0013257409;ALCOF;Euronext Growth Paris;EUR;304;306;300;300;16/12/2019;CET;84;25300
COFINA,SGPS;PTCFN0AE0003;CFN;Euronext Lisbon;EUR;0.396;0.4;0.396;0.4;17/12/2019;BST;18064;7177.344
COFINIMMO;BE0003593044;COFB;Euronext Brussels;EUR;128.2;128.8;127.6;128.4;16/12/2019;CET;44233;5672374.7
COGELEC;FR0013335742;COGEC;Euronext Paris;EUR;6.4;6.52;6.38;6.38;16/12/2019;CET;3401;21855.36
COGRA;FR0011071570;ALCOG;Euronext Growth Paris;EUR;5.2;5.24;5.18;5.18;16/12/2019;CET;1081;5618.28
COHERIS;FR0004031763;COH;Euronext Paris;EUR;2.03;2.07;2.03;2.07;16/12/2019;CET;1260;2581.8
COIL;BE0160342011;ALCOI;Euronext Growth Paris;EUR;13.5;13.8;13.3;13.8;16/12/2019;CET;1351;18255.3
COLAS;FR0000121634;RE;Euronext Paris;EUR;138.6;140.6;138.2;138.2;16/12/2019;CET;946;131706.2
COLIPAYS;FR0010959684;MLCLP;Euronext Access Paris;EUR;3.86;3.86;3.86;3.86;13/12/2019;CET;10;38.6
COLRUYT;BE0974256852;COLR;Euronext Brussels;EUR;47.5;47.54;46.93;46.93;16/12/2019;CET;288101;13558548.51
COMMERCIALE BELGE;BE0013068706;-;Euronext Expert Market;EUR;680;680;680;680;09/07/2019;CET;10;6800
CONDOR TECHNOLOG;BE6252013725;MLMFI;Euronext Access Paris;EUR;15;15;15;15;07/06/2019;CET;20;300
CONDURIL;PTCDU0AE0003;CDU;Euronext Access Lisbon;EUR;32;32;32;32;16/11/2019;BST;14;448
CONSORT NT;FR0000077828;MLCNT;Euronext Access Paris;EUR;20.2;20.2;20.2;20.2;25/09/2019;CET;1;20.2
CONTINENT. LAND CY;NL0000121622;-;Euronext Expert Market;EUR;20.4;20.4;20.4;20.4;26/11/2019;CET;6;122.4
COPAM;PTCPA0AP0006;CPA;Euronext Access Lisbon;EUR;15;15;15;15;20/07/2019;BST;50;750
CORBION;NL0010583399;CRBN;Euronext Amsterdam;EUR;27.62;27.88;27.52;27.7;16/12/2019;CET;39378;1091011.68
CORE LABORATORIES;NL0000200384;CLB;Euronext Amsterdam;EUR;41.2;41.2;41.2;41.2;16/12/2019;CET;30;1236
COREP LIGHTING;FR0010035816;MLCOR;Euronext Access Paris;EUR;9.2;9.2;9.2;9.2;17/09/2019;CET;1;9.2
CORTICEIRA AMORIM;PTCOR0AE0006;COR;Euronext Lisbon;EUR;11.44;11.44;11.18;11.18;17/12/2019;BST;93990;1063344.02
COURBET;FR0004998318;MLCOU;Euronext Access Paris;EUR;1.45;1.45;1.45;1.45;16/12/2019;CET;16;23.2
COURTOIS;FR0000065393;COUR;Euronext Paris;EUR;124;124;124;124;16/12/2019;CET;1;124
COVIVIO;FR0000064578;COV;Euronext Paris;EUR;98.6;100.1;98.55;99.55;16/12/2019;CET;112438;11193633.75
COVIVIO HOTELS;FR0000060303;COVH;Euronext Paris;EUR;29.3;29.3;28.4;28.6;16/12/2019;CET;1432;41140.7
CPL RESOURCES PLC.;IE0007214426;DQ5;Euronext Growth Dublin;EUR;7.4;7.5;7.4;7.5;16/12/2019;UTC;16864;126431.6
CRCAM ALP.PROV.CCI;FR0000044323;CRAP;Euronext Paris;EUR;125.2;125.2;125.2;125.2;16/12/2019;CET;64;8012.8
CRCAM ATL.VEND.CCI;FR0000185506;CRAV;Euronext Paris;EUR;152.02;153.98;152;153.98;16/12/2019;CET;182;27689.76
CRCAM BRIE PIC2CCI;FR0010483768;CRBP2;Euronext Paris;EUR;30.505;30.775;30.4;30.4;16/12/2019;CET;5230;159549.515
CRCAM ILLE-VIL.CCI;FR0000045213;CIV;Euronext Paris;EUR;118;118;116;117;16/12/2019;CET;320;37445.8
CRCAM LANGUED CCI;FR0010461053;CRLA;Euronext Paris;EUR;81.12;81.12;81.12;81.12;16/12/2019;CET;132;10707.84
CRCAM LOIRE HTE L.;FR0000045239;CRLO;Euronext Paris;EUR;102.04;102.04;102.02;102.02;16/12/2019;CET;51;5203.04
CRCAM MORBIHAN CCI;FR0000045551;CMO;Euronext Paris;EUR;102.24;102.76;102.22;102.76;16/12/2019;CET;289;29604.12
CRCAM NORD CCI;FR0000185514;CNF;Euronext Paris;EUR;-;28.895;28.7;28.73;16/12/2019;CET;2157;61997.925
CRCAM NORM.SEINE;FR0000044364;CCN;Euronext Paris;EUR;159.94;159.94;158;158;16/12/2019;CET;255;40307.46
CRCAM PARIS ET IDF;FR0000045528;CAF;Euronext Paris;EUR;100.1;100.24;99.8;100;16/12/2019;CET;839;83916.74
CRCAM SUD R.A.CCI;FR0000045346;CRSU;Euronext Paris;EUR;231.7;231.7;230;230;16/12/2019;CET;53;12246.1
CRCAM TOURAINE CCI;FR0000045304;CRTO;Euronext Paris;EUR;125.4;126.24;125.4;126.24;16/12/2019;CET;366;46098
CREDIMO;BE0015460372;-;Euronext Expert Market;EUR;67;67;67;67;27/10/2015;CET;3;201
CREDIMO HOLDING;BE0162868054;-;Euronext Expert Market;EUR;32.84;32.84;32.84;32.84;24/11/2015;CET;4239;139208.76
CREDIT AGRICOLE;FR0000045072;ACA;Euronext Paris;EUR;13.11;13.23;13.055;13.15;16/12/2019;CET;4488108;58858390.595
CRESCENT;BE0003836534;OPTI;Euronext Brussels;EUR;0.0281;0.0287;0.0272;0.0275;16/12/2019;CET;2031449;56656.9499
CRH PLC 5PCCumPref;IE0001827264;DD8A;Euronext Dublin;EUR;-;-;-;-;-;UTC;-;-
CRH PLC 7PCCumPref;IE0001827603;DD8B;Euronext Dublin;EUR;-;-;-;-;-;UTC;-;-
CRH PLC ord;IE0001827041;CRG;Euronext Dublin;EUR;36.01;36.27;35.76;36.09;16/12/2019;UTC;1276365;45934573.5778
CROSSJECT;FR0011716265;ALCJ;Euronext Growth Paris;EUR;2.04;2.05;1.97;2;16/12/2019;CET;76721;154521.89
CROSSWOOD;FR0000050395;CROS;Euronext Paris;EUR;4.06;4.06;4.06;4.06;05/12/2019;CET;180;730.8
CS BRUX;BE0010566900;-;Euronext Expert Market;EUR;60.4;60.4;60.4;60.4;01/09/2015;CET;272;16428.8
CS GROUP.;FR0007317813;SX;Euronext Paris;EUR;4.09;4.1;3.98;4.06;16/12/2019;CET;3022;12200.77
CTAC;NL0000345577;CTAC;Euronext Amsterdam;EUR;2.03;2.04;2.03;2.04;16/12/2019;CET;1503;3066.11
CTT CORREIOS PORT;PTCTT0AM0001;CTT;Euronext Lisbon;EUR;3.29;3.338;3.28;3.288;17/12/2019;BST;647436;2139098.902
CURETIS;NL0011509294;CURE;Euronext Amsterdam, Brussels;EUR;0.478;0.478;0.462;0.467;16/12/2019;CET;103520;48715.3155
CYBERGUN;FR0013204351;ALCYB;Euronext Growth Paris;EUR;0.0066;0.007;0.0058;0.006;16/12/2019;CET;89397274;557876.4568
CYBERGUN BSA 1;FR0013340809;CYBBS;Euronext Growth Paris;EUR;0.0005;0.0015;0.0005;0.0005;06/12/2019;CET;43230;44.615
CYBERGUN BSA 2;FR0013340817;CYBBT;Euronext Growth Paris;EUR;0.0005;0.002;0.0005;0.002;06/12/2019;CET;12540;22.77
D''IETEREN;BE0974259880;DIE;Euronext Brussels;EUR;59.7;61.5;59.2;61.2;16/12/2019;CET;57151;3465308.8
D.L.S.I.;FR0010404368;ALDLS;Euronext Growth Paris;EUR;16.4;16.75;16.4;16.75;16/12/2019;CET;1146;19063.55
D2L GROUP;FR0012336675;MLGEL;Euronext Access Paris;EUR;5.65;5.65;5.65;5.65;02/05/2019;CET;47;265.55
DALATA HOTEL GP.;IE00BJMZDW83;DHG;Euronext Dublin;EUR;5.74;5.99;5.73;5.87;16/12/2019;UTC;600867;3547296.485
DALET;FR0011026749;DLT;Euronext Paris;EUR;12.45;12.55;12.25;12.55;16/12/2019;CET;80;994.25
DAMARIS;FR0000077885;MLDAM;Euronext Access Paris;EUR;1.62;1.62;1.62;1.62;01/11/2018;CET;168;272.16
DAMARTEX;FR0000185423;ALDAR;Euronext Growth Paris;EUR;13.8;14;13.8;13.8;16/12/2019;CET;107;1487.7
DANONE;FR0000120644;BN;Euronext Paris;EUR;-;74.3;73.56;73.9;16/12/2019;CET;1381445;102038876
DASSAULT AVIATION;FR0000121725;AM;Euronext Paris;EUR;1118;1143;1118;1130;16/12/2019;CET;5347;6056113
DASSAULT SYSTEMES;FR0000130650;DSY;Euronext Paris;EUR;141.45;144.55;141.45;144.55;16/12/2019;CET;281805;40572086.8
DATALEX PLC;IE0000527006;DLE;Euronext Dublin;EUR;0.822;0.96;0.822;0.916;30/04/2019;UTC;211855;192678.6
DATBIM;FR0004177939;MLDTB;Euronext Access Paris;EUR;1.88;1.88;1.88;1.88;09/12/2019;CET;55;103.4
DBT;FR0013066750;ALDBT;Euronext Growth Paris;EUR;0.456;0.48;0.42;0.42;22/11/2019;CET;1510315;678948.98
DBV TECHNOLOGIES;FR0010417345;DBV;Euronext Paris;EUR;15.25;16.17;15.19;15.8;16/12/2019;CET;381004;5978784.24
DECEUNINCK;BE0003789063;DECB;Euronext Brussels;EUR;1.8;1.855;1.8;1.855;16/12/2019;CET;157495;284944.49
DEDALUS FRANCE;FR0000052623;DEDAL;Euronext Paris;EUR;0.374;0.374;0.37;0.374;16/12/2019;CET;3350;1251.5
DEINOVE;FR0010879056;ALDEI;Euronext Growth Paris;EUR;0.73;0.744;0.7;0.739;16/12/2019;CET;91662;66607.151
DELFINGEN;FR0000054132;ALDEL;Euronext Growth Paris;EUR;20.7;20.7;20.5;20.7;16/12/2019;CET;948;19523.3
DELTA DRONE;FR0011522168;ALDR;Euronext Growth Paris;EUR;0.0532;0.0554;0.0518;0.0518;16/12/2019;CET;1495678;79719.7215
DELTA DRONE BSA;FR0013239977;ALDBS;Euronext Growth Paris;EUR;-;-;-;-;-;CET;-;-
DELTA DRONE BSA J;FR0013400983;ALDSJ;Euronext Growth Paris;EUR;0.0084;0.0099;0.0082;0.0099;16/12/2019;CET;184409;1530.378
DELTA DRONE BSA Y;FR0013400991;ALDBY;Euronext Growth Paris;EUR;0.0115;0.0175;0.0115;0.0175;16/12/2019;CET;1991;25.7045
DELTA PLUS GROUP;FR0013283108;DLTA;Euronext Paris;EUR;47.1;47.1;46.1;46.2;16/12/2019;CET;873;40575.2
DERICHEBOURG;FR0000053381;DBG;Euronext Paris;EUR;3.668;3.738;3.65;3.712;16/12/2019;CET;467250;1731316.972
DESIGN YOUR HOME;SE0007045380;MLDYH;Euronext Access Paris;EUR;0.11;0.12;0.11;0.12;27/11/2018;CET;22581;2588.91
DEUTSCHE TELEKOM;DE0005557508;DTEL;Traded not listed Brussels;EUR;14.866;14.866;14.86;14.86;16/12/2019;CET;80;1189.04
DEVERNOIS;FR0000060840;ALDEV;Euronext Growth Paris;EUR;59.5;59.5;59.5;59.5;18/07/2019;CET;9;535.5
DEVOTEAM;FR0000073793;DVT;Euronext Paris;EUR;-;93.8;91.8;93.8;16/12/2019;CET;10060;937117.2
DEXIA;BE0974290224;DEXB;Euronext Expert Market;EUR;0.55;0.55;0.465;0.491;29/11/2019;CET;138661;70731.83
DGB GROUP N.V.;NL0009169515;DGB;Euronext Amsterdam;EUR;0.77;0.8;0.752;0.8;16/12/2019;CET;10543;8178
DIAGEO;GB0002374006;DGE;Euronext Paris;EUR;37.135;37.135;37.135;37.135;16/12/2019;CET;400;14854
DIAGEO PLC;GB0002374006;GUI1;Euronext Dublin;EUR;-;-;-;-;-;UTC;-;-
DIAGNOSTIC MEDICAL;FR0012202497;DGM;Euronext Paris;EUR;1.3;1.315;1.25;1.295;16/12/2019;CET;28603;36474.45
DIEGEM KENNEDYCERT;BE0003698124;DIEG;Euronext Brussels;EUR;134;134;134;134;12/12/2019;CET;15;2010
DIERK. ANTWERP.;BE0036367895;-;Euronext Expert Market;EUR;96.5;96.5;96.5;96.5;03/09/2019;CET;2;193
DIERKUNDE ANTW;BE0026342551;-;Euronext Expert Market;EUR;246;246;246;246;22/10/2019;CET;5;1230
DIETSWELL;FR0010377127;ALDIE;Euronext Growth Paris;EUR;0.95;1.02;0.95;0.992;16/12/2019;CET;33402;32349.785
DIGIGRAM;FR0000035784;DIG;Euronext Paris;EUR;0.61;0.61;0.61;0.61;13/12/2019;CET;370;225.7
DISTRI-LAND CERT;BE0003605160;DISL;Euronext Brussels;EUR;180.02;180.02;180.02;180.02;16/12/2019;CET;5;900.1
DNXCORP;FR0010436584;ALDNX;Euronext Growth Paris;EUR;4.3;4.38;4.28;4.3;16/12/2019;CET;943;4056.67
DOCK.PETR.AMBES AM;FR0000065260;DPAM;Euronext Paris;EUR;470;474;470;474;16/12/2019;CET;28;13168
DONEGAL INVESTMENT;IE00BD97C178;DQ7A;Euronext Growth Dublin;EUR;12.7;13.5;12.7;13.5;16/12/2019;UTC;413636;5377665.6
DONTNOD;FR0013331212;ALDNE;Euronext Growth Paris;EUR;15.08;15.48;15.02;15.48;16/12/2019;CET;2903;44539.04
DPA GROUP;NL0009197771;DPA;Euronext Amsterdam;EUR;1.39;1.39;1.38;1.385;16/12/2019;CET;6731;9324.69
DRAPER ESPRIT PLC;GB00BY7QYJ50;GRW;Euronext Growth Dublin;EUR;5.4;5.4;5.4;5.4;21/11/2019;UTC;2500;13500
DRONE VOLT;FR0013088606;ALDRV;Euronext Growth Paris;EUR;0.104;0.105;0.099;0.101;16/12/2019;CET;1028572;104244.3495
DRONE VOLT BS;FR0012860542;DRVBS;Euronext Growth Paris;EUR;0.08;0.08;0.08;0.08;07/10/2019;CET;657;52.56
DSM KON;NL0000009827;DSM;Euronext Amsterdam;EUR;115.3;117.3;115.3;116.2;16/12/2019;CET;432814;50300426.6
